id,status,urgency,category,category_ar,client_username,client_name,client_phone,worker_username,worker_name,worker_phone,address,latitude,longitude,commission,created_at,accepted_at,completed_at,cancelled_at
1,CANCELLED,NORMAL,كمبيوتر,كمبيوتر,user2746,Amany Adel,01051420621,user2972,Laila Shaker,01088836674,,24.294755,29.33241,62.21,2025-07-23 08:40:50,2025-07-23 09:54:12,,2025-07-23 09:41:42
2,COMPLETED,URGENT,كهربا,كهربا,user173,Aya Youssef,01019668169,user73,Mona Hassan,01081988124,197 Ave,30.433467,34.992882,121.36,2025-09-15 18:18:44,2025-09-15 21:16:05,2025-09-16 01:52:28,
3,COMPLETED,HIGH,حدائق,حدائق,user4217,Ghada Hamdy,01035510155,user172,Samar Fouad,01012203625,105 St,26.946243,26.883195,47.21,2025-12-01 08:56:40,2025-12-02 00:31:59,2025-12-02 01:42:00,
4,PENDING,NORMAL,كمبيوتر,كمبيوتر,user1744,Emad Khaled,01012177526,user25,Maged Omar,01042704875,144 Ave,27.381561,34.10348,128.03,2024-12-15 00:45:02,2024-12-15 12:09:33,,
5,COMPLETED,NORMAL,كهربا,كهربا,user2697,Nour Hamdy,01018525488,user1072,Mona Fouad,01063498334,,27.391982,30.6714,148.09,2026-02-25 12:24:33,2026-02-25 14:07:22,2026-02-25 16:29:01,
6,COMPLETED,HIGH,حدائق,حدائق,user115,Hussein Youssef,01066315301,user3029,Ashraf Youssef,01024075309,169 Rd,25.065242,35.802528,116.6,2025-08-25 18:17:09,2025-08-26 04:17:57,2025-08-26 16:43:55,
7,COMPLETED,URGENT,نظافه,نظافه,user1252,Mahmoud Nabil,01058542593,user3199,Nadia Said,01072823339,55 Ave,28.7571,32.888935,107.73,2024-10-10 01:44:55,2024-10-10 02:58:20,2024-10-11 01:23:57,
8,PENDING,NORMAL,دهان,دهان,user4557,Yasmin Adel,01063932978,user2953,Hussein Fouad,01051004065,74 St,30.403466,34.633049,113.84,2024-11-19 07:45:10,2024-11-19 08:41:23,,
9,CANCELLED,URGENT,نجاره,نجاره,user3523,Mona Rashid,01096422190,user3653,Sherif Khaled,01053703517,36 Ave,31.046545,35.687783,21.73,2024-12-08 01:55:27,2024-12-08 08:01:59,,2024-12-08 02:40:39
10,PENDING,URGENT,نجاره,نجاره,user2538,Laila Ali,01028781578,user2570,Noha Ibrahim,01033882168,,29.902329,33.568823,142.42,2024-10-05 05:58:42,2024-10-05 06:08:33,,
11,COMPLETED,NORMAL,صيانه منزليه,صيانه منزليه,user818,Laila Shaker,01069943922,user2860,Noha Mostafa,01099428556,60 St,31.047535,25.681685,141.01,2024-10-19 00:30:39,2024-10-19 18:10:08,2024-10-19 19:50:48,
12,CANCELLED,NORMAL,كهربا,كهربا,user3430,Maged Khaled,,user3459,Maged Naguib,01078172963,17 Rd,28.675776,31.339308,81.9,2025-08-03 21:29:00,2025-08-04 02:23:53,,2025-08-04 00:18:21
13,CANCELLED,NORMAL,كهربا,كهربا,user2108,Laila Naguib,01075617774,user1670,Amr Youssef,01055618691,139 Rd,30.365616,30.374726,109.26,2025-10-01 00:57:40,2025-10-01 03:05:14,,2025-10-01 01:37:57
14,COMPLETED,URGENT,حدائق,حدائق,user4663,Mohamed Hussein,,user1293,Marwa Naguib,01087607161,,26.43765,25.16193,30.52,2025-07-12 21:33:33,2025-07-13 11:40:30,2025-07-14 02:45:31,
15,COMPLETED,URGENT,نظافه,نظافه,user4345,Heba Hussein,01038200558,user2031,Mostafa Shaker,,143 Rd,25.574475,35.131574,83.39,2026-01-05 23:06:29,2026-01-06 09:52:20,2026-01-06 21:22:12,
16,CANCELLED,NORMAL,تكييف,تكييف,user1038,Reem Omar,01070815117,user1359,Tarek Fahmy,01068405557,116 St,25.945556,27.192392,69.94,2025-06-04 02:10:30,2025-06-04 14:49:51,,2025-06-04 07:32:00
17,COMPLETED,NORMAL,نقل عفش,نقل عفش,user3659,Yasmin Mostafa,01015899176,user1340,Mahmoud Shaker,01025119992,,27.579147,34.564031,129.27,2025-01-05 04:25:24,2025-01-05 21:21:11,2025-01-06 01:06:50,
18,COMPLETED,NORMAL,سباكه,سباكه,user4321,Fatima Nabil,01087524633,user4199,Reem Fahmy,01013925750,156 Ave,27.372414,32.910809,90.54,2025-09-29 08:48:29,2025-09-29 17:32:18,2025-09-29 23:32:46,
19,CANCELLED,NORMAL,نجاره,نجاره,user4738,Mostafa Rashid,01059036101,user2644,Hany Rashid,01013802982,,26.133036,31.712161,53.21,2025-01-14 03:42:11,2025-01-14 04:51:21,,2025-01-14 04:04:25
20,PROCESSING,URGENT,كهربا,كهربا,user1452,Ashraf Adel,01094764758,user3300,Tarek Fouad,01071438058,,24.009663,28.762865,120.46,2025-07-13 05:10:02,,,
