id,username,name,email,phone,role,governorate,city,address,is_active,is_staff,date_joined,last_login
1,user1,Maha Youssef,,01090111922,client,dakahlia,mit_ghamr,,True,False,2025-01-31 03:41:28,2025-02-04 12:55:26
2,user2,Laila Fahmy,user2@example.com,01079874593,client,matrouh,siwa,,True,False,2026-02-01 01:03:52,2026-05-23 05:55:57
3,user3,Hany Ibrahim,user3@example.com,01054434998,worker,luxor,el_tod,56 el_tod st,True,False,2026-04-14 06:09:05,2026-05-23 10:10:52
4,user4,Ali Shaker,user4@example.com,01092369566,client,matrouh,el_alamein,63 el_alamein st,True,False,2026-01-07 15:57:32,2026-04-26 15:58:05
5,user5,Aya Naguib,,01060326016,worker,beni_suef,naser,131 naser st,True,False,2024-06-25 02:53:24,2025-04-20 20:08:19
6,user6,Ali Omar,user6@example.com,01081565674,client,alexandria,miami,,True,False,2024-10-26 01:22:55,2025-07-01 20:26:40
7,user7,Laila Youssef,,01015085015,client,minya,bani_mazar,,True,False,2024-06-10 10:40:20,2024-11-17 02:57:11
8,user8,Ghada Rashid,user8@example.com,01052467059,client,sohag,el_maragha,,True,False,2024-04-19 10:16:17,2025-04-08 01:30:56
9,user9,Hany Hamdy,,01050446607,client,damietta,damietta,73 damietta st,True,False,2024-04-08 05:40:05,2024-06-17 22:39:33
10,user10,Nour Omar,user10@example.com,01062478133,client,port_said,el_sharq,140 el_sharq st,True,False,2025-09-05 18:53:23,2026-05-20 09:16:33
11,user11,Ali Hassan,,01082095327,worker,dakahlia,talkha,22 talkha st,True,False,2025-08-02 15:18:49,2025-08-06 23:14:27
12,user12,Hussein Omar,user12@example.com,01036082023,client,fayoum,sinnuris,,True,False,2025-10-03 00:52:28,2026-06-10 21:23:32
13,user13,Amr Hussein,user13@example.com,01087926229,client,kafr_el_sheikh,kafr_el_sheikh,85 kafr_el_sheikh st,True,False,2026-05-02 14:39:09,2026-05-25 00:03:55
14,user14,Tarek Gamal,user14@example.com,01051027069,client,qalyubia,benha,40 benha st,True,False,2025-03-18 22:40:59,2025-05-12 04:00:53
15,user15,Tarek Ibrahim,user15@example.com,01096011893,worker,fayoum,tamiya,93 tamiya st,True,False,2025-10-27 08:27:25,2025-12-31 20:17:28
16,user16,Fatima Gamal,user16@example.com,01091420187,worker,beni_suef,naser,,True,False,2025-12-20 00:14:17,2026-03-16 11:45:23
17,user17,Ramy Hussein,user17@example.com,01094775473,client,dakahlia,nabaroh,,True,False,2024-11-01 03:30:47,2025-05-24 14:33:45
18,user18,Aya Fouad,user18@example.com,01059099345,client,aswan,nasr_nuba,198 nasr_nuba st,True,False,2024-11-26 12:17:35,2024-12-24 23:36:58
19,user19,Sherif Shaker,user19@example.com,01092414513,client,asyut,abnub,194 abnub st,True,False,2025-12-22 21:18:51,2026-03-30 04:43:02
20,user20,Ramy Gamal,user20@example.com,,worker,port_said,el_manakh,60 el_manakh st,True,False,2024-10-05 07:00:59,2025-12-19 04:40:50
21,user21,Amany Gamal,user21@example.com,01015355917,client,fayoum,sinnuris,83 sinnuris st,True,False,2024-03-07 12:00:51,2025-01-22 17:06:37
22,user22,Sherif Rashid,user22@example.com,01020447168,worker,ismailia,el_tal_el_kebeer,97 el_tal_el_kebeer st,True,False,2025-02-13 01:08:04,2026-05-08 11:36:22
23,user23,Samar Gamal,user23@example.com,,client,qalyubia,tukh,113 tukh st,True,False,2025-09-22 10:53:38,2026-02-06 12:08:30
24,user24,Hussein Omar,user24@example.com,01025882013,client,giza,sheikh_zayed,107 sheikh_zayed st,True,False,2025-03-12 05:20:14,2025-08-23 12:18:06
25,user25,Maged Omar,user25@example.com,01042704875,worker,sharqia,kafr_saqr,,True,False,2026-01-13 19:30:13,2026-04-16 19:54:14
26,user26,Mohamed Omar,user26@example.com,01064419425,client,beheira,kafr_el_dawwar,145 kafr_el_dawwar st,True,False,2026-03-07 08:42:34,2026-03-14 23:21:07
27,user27,Samar Omar,user27@example.com,01029154498,worker,asyut,asyut,197 asyut st,True,False,2024-12-02 11:11:16,2025-11-16 08:56:43
28,user28,Maha Samy,user28@example.com,01061735818,client,ismailia,el_tal_el_kebeer,,False,False,2024-09-17 13:07:05,2026-04-03 00:56:18
29,user29,Hussein Gamal,user29@example.com,01081327320,client,ismailia,fayed,31 fayed st,True,False,2025-10-14 03:05:32,2025-12-11 05:06:12
30,user30,Nermeen Adel,user30@example.com,,client,dakahlia,nabaroh,59 nabaroh st,True,False,2026-04-17 18:02:19,2026-04-17 20:50:07
31,user31,Karim Youssef,user31@example.com,01021249805,client,suez,ganaen,,True,False,2025-06-28 12:15:04,2026-02-12 06:34:37
32,user32,Maged Hamdy,,,worker,luxor,armant,177 armant st,True,False,2024-10-20 15:12:51,2024-10-24 21:10:19
33,user33,Reem Said,user33@example.com,01085788756,client,luxor,armant,71 armant st,True,False,2024-06-14 13:42:37,2024-10-12 18:59:31
34,user34,Dina Shaker,user34@example.com,01051158280,client,aswan,new_aswan,199 new_aswan st,True,False,2025-10-03 22:15:44,2026-05-06 08:15:11
35,user35,Ali Mostafa,user35@example.com,01083897088,worker,dakahlia,mansoura,176 mansoura st,True,False,2024-12-22 22:29:42,2025-12-04 19:37:36
36,user36,Nour Samy,user36@example.com,01039765498,worker,beheira,edku,156 edku st,False,False,2024-01-09 05:14:56,2024-05-29 17:16:38
37,user37,Ayman Omar,user37@example.com,01037072687,client,aswan,edfu,133 edfu st,True,False,2026-03-20 08:29:40,2026-04-17 04:00:58
38,user38,Sameh Omar,user38@example.com,01097915178,client,alexandria,borg_el_arab,,True,False,2026-03-04 02:36:12,2026-06-12 06:28:08
39,user39,Amany Nabil,user39@example.com,,client,sohag,gerga,24 gerga st,True,False,2025-07-02 13:33:12,2026-03-19 15:15:21
40,user40,Sherine Samy,user40@example.com,01064218119,client,damietta,farskour,67 farskour st,True,False,2025-06-24 17:55:53,2025-11-06 16:38:02
41,user41,Marwa Khaled,user41@example.com,01082196170,client,ismailia,ismailia,148 ismailia st,True,False,2026-05-17 19:15:45,2026-05-21 07:35:53
