user_id,username,name,phone,email,governorate,city,is_active,profession,profession_ar,experience_years,average_rating,completed_jobs,accept_rate,is_available,is_verified,is_featured,hourly_rate,minimum_charge,currency,date_joined,profile_created_at
3,user3,Hany Ibrahim,01054434998,user3@example.com,luxor,el_tod,True,دهان,دهان,2,4.7,185,73.0,True,True,False,,100.0,EGP,2026-04-14 06:09:05,2026-04-21 11:45:12
5,user5,Aya Naguib,01060326016,,beni_suef,naser,True,نجاره,نجاره,10,3.0,195,75.2,True,True,False,,200.0,EGP,2024-06-25 02:53:24,2024-06-25 02:53:24
11,user11,Ali Hassan,01082095327,,dakahlia,talkha,True,صيانه منزليه,صيانه منزليه,19,3.2,132,60.6,True,False,True,30.0,50.0,EGP,2025-08-02 15:18:49,2026-03-05 11:36:10
15,user15,Tarek Ibrahim,01096011893,user15@example.com,fayoum,tamiya,True,نظافه,نظافه,20,3.9,131,97.4,True,True,False,,75.0,EGP,2025-10-27 08:27:25,2026-01-08 16:41:58
16,user16,Fatima Gamal,01091420187,user16@example.com,beni_suef,naser,True,دهان,دهان,8,3.0,125,98.1,True,False,True,80.0,,EGP,2025-12-20 00:14:17,2026-02-25 22:35:38
20,user20,Ramy Gamal,,user20@example.com,port_said,el_manakh,True,تكييف,تكييف,12,3.8,172,98.3,True,True,False,60.0,,EGP,2024-10-05 07:00:59,2026-03-17 07:21:18
22,user22,Sherif Rashid,01020447168,user22@example.com,ismailia,el_tal_el_kebeer,True,دهان,دهان,25,3.8,1,96.9,False,True,False,25.0,100.0,EGP,2025-02-13 01:08:04,2026-03-30 19:27:46
25,user25,Maged Omar,01042704875,user25@example.com,sharqia,kafr_saqr,True,دهان,دهان,13,4.9,127,75.5,True,False,True,,200.0,EGP,2026-01-13 19:30:13,2026-03-31 19:27:06
27,user27,Samar Omar,01029154498,user27@example.com,asyut,asyut,True,صيانه منزليه,صيانه منزليه,7,3.9,234,73.4,True,False,False,,,EGP,2024-12-02 11:11:16,2025-04-29 16:06:02
32,user32,Maged Hamdy,,,luxor,armant,True,كمبيوتر,كمبيوتر,8,3.9,82,96.0,True,True,False,,75.0,EGP,2024-10-20 15:12:51,2025-08-02 10:19:01
35,user35,Ali Mostafa,01083897088,user35@example.com,dakahlia,mansoura,True,كمبيوتر,كمبيوتر,25,4.5,7,71.8,True,True,False,25.0,75.0,EGP,2024-12-22 22:29:42,2026-01-14 23:02:12
36,user36,Nour Samy,01039765498,user36@example.com,beheira,edku,False,حدائق,حدائق,6,4.0,79,70.7,True,True,False,25.0,150.0,EGP,2024-01-09 05:14:56,2025-01-28 03:10:04
43,user43,Nermeen Fouad,01043320572,,qalyubia,shubra_el_kheima,True,كمبيوتر,كمبيوتر,8,4.2,199,61.1,True,True,False,40.0,100.0,EGP,2025-05-05 11:17:36,2026-05-30 14:46:21
44,user44,Marwa Shaker,01034532913,user44@example.com,beni_suef,beni_suef,True,نقل عفش,نقل عفش,9,3.4,131,92.2,True,True,False,30.0,200.0,EGP,2026-05-11 11:10:42,2026-05-30 04:21:42
48,user48,Mostafa Khaled,01011129926,user48@example.com,alexandria,borg_el_arab,True,دهان,دهان,19,3.0,159,97.0,False,True,False,50.0,150.0,EGP,2025-06-23 11:52:15,2026-06-05 08:01:26
52,user52,Yasmin Fouad,,user52@example.com,ismailia,fayed,True,نجاره,نجاره,15,3.7,289,89.3,True,False,False,100.0,120.0,EGP,2025-05-05 11:09:53,2026-04-16 10:26:39
58,user58,Ali Hussein,01017224328,user58@example.com,giza,mohandessin,True,نقل عفش,نقل عفش,6,3.9,61,81.7,True,True,False,45.0,50.0,EGP,2024-09-16 06:52:23,2025-02-17 21:52:25
62,user62,Amr Ali,01028293937,,asyut,manfalut,True,سباكه,سباكه,22,4.0,193,64.4,True,True,True,,150.0,EGP,2025-10-02 08:04:18,2025-12-07 14:15:49
63,user63,Fatima Samy,,user63@example.com,suez,ganaen,True,نقل عفش,نقل عفش,4,4.1,259,93.8,True,True,True,80.0,180.0,EGP,2025-04-10 10:17:23,2026-04-16 05:40:57
